			a_acc	b_acc	a_speed	b_speed	noise	scale	tauR	tauG	tauI	
1	8	27576450	68.828991	0.942497	69.998595	0.940389	0.999619	25.71036	0.078265	0.042168	0.005411	29533.63642
1	18	64876797	47.438487	0.459067	52.0268	0.53222	0.999947	25.601119	0.001	0.012951	0.442104	29538.73441
1	4	27176330	65.23582	1.010425	63.309155	1.086871	0.999993	25.6	0.116163	0.001003	0.001056	29552.22775
1	15	64576062	60.634943	0.264686	69.99874	0.30925	1	25.609161	0.001	0.002302	0.975163	29553.72471
1	110	69320350	64.66507	1.065881	35.125923	1.375159	0.999998	25.642578	0.147232	0.001	0.001	29616.08978
1	126	68074786	52.115205	1.239617	24.839793	1.509017	0.992995	25.6	0.178772	0.007241	0.001001	29617.61522
1	100	35171891	50.330133	1.273853	19.208479	1.548955	0.999989	25.6	0.200616	0.004085	0.001005	29626.77008
1	106	57297078	66.676598	1.016486	35.725708	1.343457	0.998409	25.628906	0.126674	0.001198	0.002044	29638.51411
1	90	84165025	47.668989	1.305638	26.036931	1.53822	0.999685	25.600141	0.195623	0.01155	0.001	29651.61389
1	41	80307451	69.919163	0.983502	34.777271	1.347512	0.999496	25.630177	0.127677	0.001689	0.001335	29656.82988
1	65	84310160	60.477905	0.249316	69.332886	0.318652	0.996082	25.65625	0.001	0.00198	0.999964	29750.23884
1	133	92582178	63.432199	1.061805	38.013675	1.354207	0.999997	25.615715	0.12924	0.00408	0.003669	29778.04174
1	159	28304696	55.430889	1.12326	57.505631	1.16618	1	25.600708	0.124714	0.004262	0.001	29790.01843
1	20	65079943	67.333212	1.020441	27.970641	1.453601	0.998318	25.607592	0.126847	0.015577	0.001261	29830.8896
1	58	60079611	55.97159	1.143485	43.423029	1.323258	0.994804	25.601551	0.128807	0.006286	0.003191	29853.82806
1	89	50392591	46.962204	1.296057	29.426928	1.518566	0.999987	25.758796	0.171312	0.017526	0.001015	29868.48345
1	64	37793246	57.390411	1.166497	26.608306	1.509329	0.999895	25.6	0.151822	0.017135	0.001001	29912.38606
1	149	92080122	54.695352	1.140145	53.516838	1.199913	0.999905	25.611409	0.104653	0.037281	0.001693	30030.40951
1	109	47086247	68.178898	0.915469	69.648437	0.946844	0.998172	25.600067	0.069735	0.01956	0.001724	30189.10289
1	31	29875128	40.610487	0.401613	65.050245	0.166067	0.999998	25.6	0.001	0.199003	0.015719	30256.51551
1	48	24702120	52.052802	1.223625	26.157006	1.511916	0.9999	25.600035	0.15065	0.010801	0.004457	30293.80371
1	106	68669561	60.517637	1.032761	64.222229	1.043673	0.997871	25.600027	0.07849	0.035908	0.008114	30295.08328
1	139	121763599	69.997559	0.869922	65.229492	0.979297	0.999854	25.875	0.07386	0.004963	0.001406	30362.63017
1	58	73817861	69.478742	0.926865	57.336661	1.110536	1	25.600358	0.063664	0.044497	0.009833	30460.27857
1	53	19001394	64.860378	0.987332	46.675796	1.237489	0.941004	25.601462	0.074282	0.042839	0.002067	30468.0581
1	138	67823873	40.765167	0.399542	64.777991	0.171425	1	25.600002	0.00101	0.14431	0.037475	30683.43362
1	127	102894818	63.899784	1.017462	69.928911	0.960088	0.998422	25.63932	0.071837	0.046966	0.015838	30898.30692
1	107	23240488	70	0.810164	69.888792	0.896047	0.999946	25.60238	0.062154	0.001115	0.001	31200.79144
1	99	109697845	29.975509	0.572068	64.47631	0.24343	1	25.6	0.002158	0.166082	0.008325	31359.76431
1	147	28174424	69.999962	0.937094	69.999962	0.969278	0.999564	25.601562	0.055615	0.057964	0.026052	31552.50989
1	21	28876788	64.275398	0.855537	64.430151	1.551642	0.999914	25.601562	0.001	0.999998	0.597042	31588.63593
1	43	41964761	69.997559	0.853809	69.997559	0.941504	0.999963	25.65625	0.063833	0.001	0.010897	31588.90355
1	6	63678269	64.844359	1.230357	64.669133	2.214958	1	25.6	0.001035	1	0.915488	31679.66814
1	79	28563864	55.778213	1.069662	67.453351	1.027809	0.999897	25.631157	0.089721	0.001622	0.011575	32285.78881
1	35	66578332	69.998399	0.589854	66.912205	0.816119	0.998747	25.61693	0.006548	0.395158	0.045507	32724.31128
1	57	112305740	69.992915	0.641551	66.460893	0.874228	0.999874	25.674091	0.007162	0.43427	0.061628	32744.56749
1	160	125799502	70	0.549922	66.560871	0.838733	0.992833	25.6	0.006312	0.400745	0.048027	32866.56725
1	87	84442041	67.90417	0.604781	66.338897	0.859998	0.998649	25.600708	0.005539	0.449003	0.05781	32931.79974
1	13	28074708	69.997506	0.575457	66.941028	0.768271	0.996637	25.600291	0.006462	0.366405	0.036616	33057.12004
1	49	95736237	53.485107	0.47832	64.801025	0.377246	0.990332	25.65625	0.001002	0.999964	0.039914	33224.65202
1	73	93324375	47.325333	0.534288	64.865021	0.463222	1	25.6	0.001002	0.093483	0.330875	33271.82713
1	64	19101484	68.240433	0.497266	66.244354	0.768073	0.995393	25.601562	0.005342	0.356737	0.042751	33373.40481
1	71	39271674	69.594719	0.73238	67.402337	0.927595	0.999018	25.634403	0.009057	0.309213	0.060931	33434.67788
1	95	75319908	69.348192	0.533873	66.619021	0.800317	0.991822	25.732994	0.006161	0.323935	0.042188	33566.22218
1	134	70962187	69.996619	0.933253	69.999972	0.978607	1	25.600456	0.025087	0.161419	0.062722	33741.71808
1	140	48688718	69.685014	0.484205	70	0.761826	0.999978	25.600129	0.006221	0.283128	0.044427	33985.15757
1	10	64079415	0.393677	2.901758	69.997559	0.539844	0.999963	25.65625	0.006389	0.094401	0.022413	34421.55005
1	92	62693903	69.999993	0.761111	55.408825	0.955967	1	25.6	0.027806	0.067496	0.003107	35518.16944
1	60	98370921	65.233393	0.7621	65.649074	1.210486	0.99992	25.601189	0.003561	0.309872	0.231895	35759.0406
1	87	93752791	69.999999	0.368008	69.965949	0.661868	1	25.600014	0.001241	0.001	0.998858	35814.62887
1	100	97503938	69.999955	0.701393	70	0.868463	0.999999	25.923789	0.017498	0.087021	0.02564	35872.27506
1	10	27775032	69.998932	0.499731	69.074707	0.749805	0.999991	25.601562	0.010039	0.129372	0.016557	36072.57721
1	128	40095965	69.999965	0.616439	69.9963	1.231944	0.999999	25.6	0.002482	0.001001	0.999972	36120.74441
1	36	30379506	69.824218	0.540346	69.999999	1.134279	1	25.600014	0.002298	0.001	0.993826	36140.95778
1	154	32219741	69.999388	0.547392	69.999999	1.178238	0.999999	25.600067	0.002269	0.001	1	36143.98019
1	121	46331823	69.90189	0.746722	69.982238	1.507646	0.999136	25.603058	0.003121	0.001012	0.974638	36408.70488
1	80	92100083	69.99626	0.774037	69.046656	1.680709	0.999818	25.606262	0.003445	0.001	0.998089	36563.52243
1	49	20531253	67.326892	0.793094	66.718907	1.251237	1	25.677588	0.004364	0.261089	0.253768	36590.90647
1	141	92692883	69.987159	0.644574	69.953776	1.377424	0.999946	25.77871	0.006693	0.001004	0.386045	38719.30273
1	38	30578513	0.48004	1.694228	69.991102	0.953804	0.999994	34.783909	0.078091	0.001021	0.003075	38809.32129
1	113	78487857	69.992307	0.714788	69.927126	1.578017	0.999988	25.600014	0.003889	0.058986	0.503445	39286.68969
1	84	66575572	35.352434	0.666904	69.878409	0.772136	0.999999	25.77429	0.008534	0.11252	0.043799	39594.55174
1	25	65577841	0.624377	2.290292	32.855596	1.337744	0.999578	26.203779	0.098115	0.002277	0.005688	39636.56275
1	123	106286646	30.803273	0.726917	69.998342	0.76827	0.999988	25.633719	0.007973	0.092479	0.06293	39670.20358
1	155	93969758	22.543552	0.987949	69.999999	0.896986	0.99962	25.637665	0.023511	0.074266	0.026381	39808.78458
1	17	28477391	1.592175	1.313911	66.538941	0.997886	0.990651	25.667522	0.048317	0.00116	0.027423	39975.76533
1	113	51296981	32.240982	0.63356	69.999962	0.713812	0.999999	25.611816	0.008483	0.137532	0.023187	40066.98205
1	56	84466341	1.70681	1.416304	53.294923	1.152947	0.999732	25.709939	0.0748	0.029064	0.002524	40079.47108
1	96	51848474	69.992432	0.621163	68.711485	0.996631	0.999628	25.605882	0.011658	0.001004	0.153947	40182.53433
1	16	28373259	69.996458	0.685031	69.997557	0.967951	0.99986	25.937311	0.015551	0.001054	0.116049	40365.54261
1	74	112656574	5.031625	1.289766	48.162111	1.213325	0.998692	25.6001	0.060927	0.027599	0.010165	40456.84503
1	97	98451362	16.028036	0.955508	70	0.834688	0.999869	25.999849	0.02322	0.003163	0.040823	42473.72927
1	68	90699459	2.589595	1.431165	69.976647	0.873342	1	25.604219	0.015629	0.006689	0.075404	43065.21645
1	33	66374908	69.948227	0.518595	1.043629	1.357264	0.999998	25.6	0.020713	0.005956	0.021201	47312.36224
1	147	54136654	5.458374	1.12002	0.113525	1.62041	0.999963	54.75	0.032511	0.001058	0.027507	49447.99507
1	63	34016725	16.411743	1.543164	26.162109	1.621289	0.999963	1059.03125	0.934893	0.003009	0.001557	49709.93871
1	103	77288788	34.3998	1.356054	7.333679	1.587404	0.999485	1117.253053	0.61024	0.001004	0.001426	50454.19987
1	8	63872609	69.876709	0.683441	0.81665	1.39881	0.999998	460.640625	0.083317	0.017908	0.002045	52812.66447
1	32	29976003	10.702022	1.249335	0.12706	1.50609	0.999004	779.227837	0.143311	0.018443	0.009123	53828.67276
1	67	100946442	5.001068	1.324188	1.192245	1.616364	0.994264	322.0625	0.093921	0.019291	0.02104	54063.60518
1	111	24547577	35.895996	2.479687	15.41748	1.363672	0.999854	735.5	0.043751	0.00328	0.05393	70103.12575
