			a_acc	b_acc	a_speed	b_speed	noise	scale	tauR	tauG	tauI	
1	83	55509228	0.891704	1.02117	0.001885	1.374929	0.999999	288.434056	0.004162	0.001001	0.374765	26106.9461
1	72	21170826	1.757802	1.686735	0.003157	2.295085	0.981273	308.787004	0.003218	0.00118	0.971591	26144.07886
1	81	72219962	0.001495	1.254167	0.001675	2.032389	0.999995	193.674892	0.001006	0.002857	0.961316	26176.31449
1	22	28975862	0.04418	1.46755	0.000022	2.245518	0.996682	214.784118	0.001	0.003254	0.9998	26214.00799
1	150	96182128	0.045315	1.098332	0.015665	1.742783	0.713328	317.386439	0.002291	0.001001	0.780912	26387.92374
1	59	92971156	4.505659	1.21198	0.014726	1.48188	0.782649	378.899176	0.002423	0.001004	0.798234	26412.94831
1	105	100508843	0.000016	1.302539	0.001211	2.048699	0.99219	356.348069	0.001722	0.002602	0.964746	26414.01408
1	101	120040538	0.156097	1.325317	69.998932	0.237085	0.999991	25.601562	0.001	0.001407	0.9057	26527.93923
1	105	30150189	12.526505	0.675725	19.473613	0.630374	0.98452	25.600577	0.001465	0.009718	0.013035	26538.17921
1	93	101184914	27.445671	1.715937	28.958821	1.73005	0.996932	25.600348	0.999375	0.001042	0.001	26607.60493
1	148	106552686	27.433647	1.717502	21.844073	1.758243	1	25.6	0.999976	0.001007	0.001	26609.7748
1	60	88643836	27.255996	1.716402	20.063651	1.76563	0.999964	25.663834	0.999265	0.00105	0.001	26615.67424
1	136	115398775	28.318522	1.713189	28.393297	1.731806	0.993952	25.618452	0.999895	0.001066	0.0011	26616.36938
1	44	49295182	28.121955	1.707567	23.666631	1.742528	0.999949	25.600411	0.953721	0.001002	0.001001	26632.82559
1	47	56015491	27.246924	1.718222	24.000662	1.748453	0.999999	25.627685	0.999994	0.001649	0.001004	26635.64315
1	46	50693057	5.054189	0.968832	70	0.266812	0.999881	25.606408	0.001	0.001557	0.998784	26637.7452
1	88	91399050	27.604397	1.718262	22.099074	1.756843	1	25.6	0.999983	0.001607	0.001	26638.26575
1	1	63179183	27.157828	1.716206	29.339256	1.725853	1	25.6	0.983988	0.001351	0.001001	26641.04521
1	153	42633793	25.558941	1.722717	20.626956	1.761433	0.999833	25.612884	0.983301	0.001124	0.001	26641.66419
1	116	113952412	29.362376	1.7088	30.939039	1.726321	0.907588	25.791506	0.999999	0.001001	0.001	26691.73397
1	2	26970150	24.802618	1.728099	32.711977	1.717695	0.999981	25.621289	0.993887	0.001801	0.001008	26716.17705
1	47	39700679	26.202371	1.722808	19.249604	1.781001	0.768951	25.607409	0.999427	0.0012	0.00109	26786.72778
1	7	63777778	27.347106	1.723692	14.298816	1.806778	0.978089	25.787209	0.998817	0.00379	0.001009	26845.53174
1	40	30777686	26.758864	1.719586	13.73076	1.806687	0.931521	25.617025	0.963829	0.002675	0.001	26854.71927
1	132	99794198	21.923732	1.733267	31.284211	1.719392	0.964314	25.6	0.939413	0.001737	0.001242	26868.04753
1	78	96790244	27.584012	1.699957	11.239695	1.809834	0.99997	25.60952	0.866283	0.002057	0.001007	26931.41814
1	54	65563256	26.983256	1.693989	20.603711	1.745381	0.990212	25.600623	0.763914	0.003363	0.001695	27014.76546
1	42	53018691	27.20267	1.675432	10.531792	1.798191	0.999964	25.606318	0.738704	0.001487	0.001	27087.83124
1	55	58258339	20.407269	1.717642	12.786907	1.788862	0.984108	25.605251	0.806927	0.00133	0.001146	27120.5258
1	9	63983254	23.545411	1.710492	13.962471	1.783059	0.999665	25.633322	0.758597	0.003087	0.002343	27149.11789
1	44	29451490	27.633943	1.629113	17.317702	1.707923	0.995051	25.604554	0.543153	0.00147	0.001009	27372.06067
1	2	63277335	33.540816	1.586281	26.873215	1.647731	0.999509	25.663184	0.509288	0.001006	0.001119	27821.95696
1	78	53211953	4.776764	0.922108	69.992876	0.674898	0.999967	25.6	0.001271	0.001019	1	28077.65038
1	79	94692171	1.184959	0.77212	69.999722	0.455331	0.999993	25.600889	0.001226	0.00111	0.662023	28127.28046
1	137	80582381	69.993033	0.948934	69.265053	0.983187	1	25.6	0.095457	0.032968	0.001003	28237.90539
1	40	67079099	69.977176	0.950874	67.921867	0.999165	0.998624	25.600202	0.0959	0.035088	0.001014	28242.85325
1	88	65396523	69.999962	0.948828	63.109818	1.05918	0.999998	25.601562	0.094799	0.037651	0.001	28253.43317
1	121	90101882	69.949816	0.948624	66.296773	1.016706	0.999528	25.600098	0.095649	0.03698	0.001002	28255.842
1	156	103811292	69.996018	0.950684	69.999782	0.971549	0.999463	25.6	0.096744	0.033235	0.001	28257.92354
1	108	24639113	69.889441	0.94913	63.857196	1.053481	1	25.605172	0.09632	0.03545	0.001	28259.53017
1	27	29474949	69.982599	0.950037	69.993497	0.970876	1	25.6	0.094797	0.034545	0.001336	28261.02659
1	150	41085498	69.970356	0.951689	68.931598	0.988607	0.999999	25.600176	0.097266	0.033804	0.00119	28270.89979
1	37	66777466	69.963324	0.949441	69.192575	0.977738	0.999991	25.600857	0.094915	0.034444	0.001164	28273.49824
1	51	98788271	69.990577	0.950233	69.977176	0.973837	0.990893	25.6	0.096999	0.033075	0.001004	28273.62526
1	124	59037302	69.992535	0.947037	69.967106	0.97074	0.999996	25.600052	0.094857	0.035155	0.001011	28284.00212
1	41	39953722	70	0.953516	66.601499	1.023925	1	25.6	0.099824	0.03443	0.001106	28296.3109
1	12	64281674	69.998932	0.951782	58.842316	1.119409	0.999991	25.601562	0.097409	0.036886	0.001	28296.81048
1	134	46188156	69.192547	0.957328	69.954592	0.967518	0.99989	25.600085	0.094367	0.034967	0.001	28299.98569
1	99	98724007	69.998282	0.950387	61.199154	1.088075	1	25.600966	0.095635	0.036097	0.001429	28318.46708
1	67	20968215	69.588358	0.957354	64.904797	1.044262	0.999788	25.6	0.098292	0.035816	0.001325	28324.57137
1	34	66477995	69.86962	0.953575	69.413187	0.985437	0.998151	25.602829	0.098842	0.031402	0.001026	28336.94658
1	11	64178042	69.92516	0.952922	69.388634	0.982118	0.999492	25.6	0.095639	0.035108	0.001749	28338.83522
1	16	64679269	69.999962	0.951953	56.98391	1.146747	0.999737	25.601562	0.097527	0.037552	0.001016	28347.42059
1	11	27875592	69.998768	0.950327	69.891353	0.977744	0.998569	25.600481	0.095506	0.032212	0.002139	28377.15275
1	94	55514806	69.997663	0.949259	57.197188	1.144461	0.99997	25.657412	0.097997	0.037327	0.001	28386.10509
1	137	32720878	69.999328	0.947505	63.306455	1.060325	0.962839	25.606886	0.095594	0.036214	0.001195	28387.34149
1	146	61695587	69.967693	0.946434	64.001744	1.044831	1	25.600019	0.091288	0.039263	0.002424	28410.99194
1	57	34741352	69.999776	0.954662	57.241413	1.147983	0.999961	25.626615	0.101061	0.037997	0.001001	28412.22023
1	131	94077964	68.717475	0.972477	61.120635	1.09629	0.999638	25.6013	0.100198	0.036526	0.001114	28418.266
1	126	70273283	69.999962	0.954913	69.999962	0.978302	0.999998	25.601562	0.098025	0.029719	0.001496	28426.95917
1	19	28671348	69.961578	0.949885	56.258146	1.151678	1	25.624577	0.095308	0.040159	0.001199	28428.72441
1	92	93245500	69.861797	0.954897	56.073942	1.163959	0.994496	25.615308	0.100268	0.034944	0.001	28431.83135
1	23	29073496	69.383877	0.956494	69.438991	0.98319	0.999844	25.647678	0.094969	0.030601	0.001734	28440.0218
1	135	121353167	69.998932	0.947412	69.680328	0.977734	0.999075	25.601562	0.093799	0.027613	0.001	28449.68068
1	29	65972765	68.532885	0.963897	69.803033	0.972391	0.999853	25.6	0.093886	0.032459	0.001594	28451.83838
1	145	30293037	70	0.95216	52.904268	1.198523	0.998199	25.6	0.097684	0.035194	0.001	28458.35539
1	157	34423670	69.661469	0.952753	57.81753	1.132859	0.998798	25.602052	0.096638	0.033653	0.001324	28460.30517
1	42	42429782	69.999947	0.944723	60.603399	1.090703	0.999642	25.600029	0.089173	0.038758	0.002373	28474.82477
1	77	34182795	69.537467	0.951521	53.635094	1.182035	0.999934	25.605884	0.095133	0.036936	0.001	28480.91201
1	86	112868118	69.999523	0.947098	56.096055	1.14765	0.999882	25.622985	0.091529	0.038674	0.001625	28486.33698
1	46	86470434	69.913007	0.954194	53.140993	1.197574	1	25.610123	0.099255	0.035857	0.001125	28496.27501
1	17	64778297	69.620794	0.950241	53.370988	1.182448	0.997613	25.601776	0.092392	0.038742	0.001101	28499.71596
1	24	29170442	69.998789	0.951398	52.224938	1.205956	0.998942	25.6	0.096796	0.036574	0.001	28501.94826
1	158	52544865	69.998932	0.948364	61.110992	1.090503	0.999991	25.601562	0.093859	0.029714	0.001245	28502.6832
1	27	65779692	69.974797	0.950707	50.415747	1.229131	0.998495	25.610052	0.09723	0.036747	0.00102	28538.8683
1	26	29374326	69.851181	0.949453	69.982137	0.970134	1	25.600524	0.090241	0.036156	0.00351	28584.19461
1	24	65475729	70	0.951973	48.924668	1.246361	0.999675	25.6	0.097127	0.035405	0.001016	28590.312
1	39	66977430	69.9368	0.952096	51.35915	1.221881	1	25.637535	0.100204	0.033572	0.001006	28616.76727
1	30	66072492	69.998932	0.953149	50.555878	1.223804	0.999991	25.601562	0.097204	0.038407	0.001	28623.69461
1	61	53833030	69.962336	0.956747	48.074585	1.266358	0.999886	25.6	0.102764	0.034173	0.00105	28625.31299
1	71	56134431	65.832538	1.004668	67.703088	1.003512	1	25.6	0.096259	0.035313	0.001143	28630.32185
1	33	30070810	69.999962	0.950568	54.321527	1.18788	0.995998	25.601562	0.097933	0.03255	0.001668	28638.56743
1	139	65384874	69.998297	0.947835	69.42053	0.976702	0.998234	25.6	0.08858	0.037163	0.005631	28740.34002
1	122	106113776	39.305409	1.417454	28.142392	1.537306	0.999978	25.625675	0.262186	0.001287	0.001	28768.1668
1	129	115911852	65.999234	1.008808	55.101471	1.185343	0.999999	25.600039	0.106202	0.033383	0.001001	28790.82155
1	54	74321642	69.972243	0.952984	42.380161	1.330521	0.999975	25.60129	0.098746	0.035895	0.001	28864.33295
