			a_acc	b_acc	a_speed	b_speed	sgmInput	S	tauR	tauG	tauD	
1	42	82486388	51.910088	0.449455	69.993197	0.1	5.674368	1767.800873	0.23281	0.713545	0.015474	17913.84325
1	74	61092867	10.886166	1.304457	60.233694	0.856159	6.572715	1103.761613	0.144346	0.103707	0.064452	17913.85407
1	156	108422141	69.734239	0.740956	0.017306	1.623492	5.925099	970.749562	0.177288	0.001185	0.096742	17916.72123
1	77	70841759	3.83156	1.236951	52.655408	0.868594	6.478245	1775.548142	0.209325	0.117931	0.057761	17920.60779
1	64	89122038	8.20402	1.179157	33.934183	1.087963	6.88603	801.198997	0.072349	0.152836	0.026013	17920.75458
1	53	60020425	40.047284	1.108607	0.610017	1.583782	6.295911	460.303814	0.11774	0.006884	0.076697	17921.83681
1	153	72924263	45.989485	0.941605	60.578411	0.943625	6.626772	442.141744	0.051014	0.185564	0.0879	17921.85875
1	96	56854003	0.773697	1.281461	27.774641	1.225699	6.592294	1017.204044	0.114787	0.152579	0.005298	17922.20249
1	61	73389794	0.010689	1.256543	59.213649	0.740934	6.1952	2092.112651	0.25294	0.114516	0.05588	17922.44872
1	140	95907207	38.500677	1.10901	0.000029	1.784306	6.673251	741.620469	0.102931	0.012629	0.141103	17923.93725
1	138	52473221	14.14548	1.191651	46.565366	1.039034	6.783288	951.404734	0.098522	0.125956	0.062876	17924.66589
1	135	116680690	13.523212	1.405255	0.061622	1.769818	6.872829	1141.68592	0.23138	0.001002	0.119636	17928.05678
1	12	24951298	21.153916	1.226097	57.227144	0.930107	6.506564	887.530409	0.104767	0.122079	0.073031	17928.59265
1	150	52567203	2.911326	1.298759	41.400039	1.06623	6.985789	866.554288	0.098642	0.120653	0.039593	17929.40813
1	88	83986908	25.711715	1.169017	0.009744	1.703114	6.673736	646.584601	0.090493	0.021664	0.114242	17931.95927
1	123	85895785	6.838116	1.161767	29.389889	1.143195	6.547655	769.524053	0.056282	0.153383	0.033343	17934.74578
1	124	99560143	4.432526	1.366718	58.480744	0.868949	6.642507	779.284529	0.115649	0.10798	0.038276	17935.14406
1	50	83091903	4.096422	1.14081	22.720233	1.179641	6.49846	805.230981	0.056577	0.16251	0.014502	17936.20105
1	76	29410386	4.137466	1.171372	26.85714	1.132833	6.681552	696.72099	0.05107	0.14367	0.02595	17939.68354
