n	m	l	a	b	sgm	S	tr	tg	td	nll
4	42	126968255	39.296067	1.058263	16.547833	693.051398	0.068451	0.221398	0.049299	7578.232643
4	56	109966184	20.755064	1.324107	22.526723	976.409031	0.15231	0.015643	0.100268	7650.704148
4	114	105359387	47.173328	0.982041	15.174507	748.614065	0.092368	0.196885	0.063514	7577.800087
4	62	59008734	0	1.509661	21.415637	750.462125	0.191864	0.004448	0.071462	7629.216528
4	106	87383857	22.16864	1.240174	22.002131	1069.160099	0.115781	0.157383	0.039792	7576.812006
4	103	112434375	52.177734	1.028906	14.903564	444.34375	0.060337	0.045697	0.144968	7694.866787
4	92	53469729	6.217821	1.238681	28.463527	316.784177	0.02899	0.043914	0.062673	7627.918092
4	117	111290567	34.193828	1.120707	19.709687	555.372084	0.073134	0.036167	0.102177	7670.375668
4	60	141062269	29.41748	1.141106	19.852625	1208.747871	0.169126	0.125841	0.040731	7581.682039
4	48	106083713	18.097601	1.29404	20.803875	1038.234198	0.155685	0.128404	0.025863	7572.136318
4	70	90948910	57.314666	0.88647	12.019873	746.062126	0.140052	0.132609	0.053549	7584.354559
4	98	69526489	55.889739	0.915838	10.512151	485.481142	0.061241	0.292855	0.075283	7592.307584
4	50	81456862	20.884268	1.226788	20.988349	806.606012	0.084642	0.180627	0.01607	7564.930685
4	94	69959199	38.02684	1.144955	16.767315	838.334157	0.148419	0.049498	0.074161	7632.642463
4	116	77728576	10.695098	1.486081	13.562449	1012.42108	0.362878	0.002014	0.051771	7633.563491
4	71	53407360	27.255372	1.264859	18.608205	929.090225	0.16675	0.024829	0.080135	7637.744696
4	99	76566015	36.087445	1.073961	17.098084	820.229221	0.099309	0.195824	0.026431	7574.964822
4	66	130767563	12.277575	1.406961	21.472924	1170.914785	0.228065	0.013042	0.081887	7640.300205
4	108	135463493	26.011491	1.221096	21.345798	932.438704	0.120928	0.119925	0.052277	7586.190662
4	77	53763742	3.798772	1.495095	29.073631	494.233146	0.003037	0.02208	0.164978	7701.283618
4	119	108797731	36.536875	1.074512	16.782816	575.421844	0.051872	0.223207	0.047533	7583.157361
4	101	75795103	25.706278	1.056647	23.069532	408.794502	0.049942	0.029715	0.083816	7681.825204
4	79	111041903	31.84509	1.114149	17.822831	765.952169	0.089497	0.189125	0.022796	7566.351548
4	57	79460567	30.137383	0.954324	22.725115	365.585915	0.034579	0.014126	0.112332	7696.501043
4	109	71575339	15.268335	1.331055	23.763351	917.488805	0.089837	0.1653	0.030485	7575.234089
4	83	91168544	32.990185	0.943433	16.712417	368.878277	0.071946	0.001	0.053995	7685.064423
4	75	128293646	20.640826	1.197185	19.674284	736.170803	0.083968	0.177379	0.004435	7562.331306
4	43	107044108	0.000201	1.34762	24.196918	328.97208	0.072648	0.001503	0.060417	7622.743425
4	85	66419950	1.210593	1.47715	24.557949	746.908034	0.140541	0.022276	0.074179	7628.593446
4	82	53279700	25.299744	1.182605	19.374913	772.422527	0.086649	0.168546	0.024302	7570.174786
4	63	61161814	36.901613	1.070667	16.978483	789.444703	0.085294	0.212805	0.035691	7568.558024
4	67	132949214	4.449508	1.480329	20.650012	1315.471986	0.246777	0.11843	0.018741	7571.560546
4	95	142817724	14.287565	1.331046	23.937023	1154.674739	0.148016	0.127673	0.038414	7578.849376
4	123	149133475	16.20415	1.295976	22.070372	1147.06298	0.142933	0.154561	0.02085	7572.009814
4	105	133276657	0.157257	1.49781	25.266549	946.574166	0.126961	0.13093	0.020171	7562.909867
4	91	51825689	0.001923	1.453872	25.193557	533.035359	0.100922	0.032078	0.063545	7620.599294
4	61	135680349	32.547425	1.195166	19.064383	876.095485	0.139872	0.028858	0.09118	7645.74659
4	127	118021113	8.860302	1.461807	27.045731	483.365889	0.002193	0.057805	0.17136	7698.251949
4	111	71130071	36.606996	1.097716	18.883293	963.268917	0.134677	0.117647	0.058874	7588.172682
4	45	104032144	26.181947	1.181647	19.679517	903.382083	0.099799	0.198244	0.016478	7568.177919
4	69	67044358	32.518993	1.175804	17.127675	1178.072778	0.230167	0.016733	0.06791	7642.114444
4	113	140031367	31.499284	1.200787	17.76244	1099.756274	0.210315	0.043807	0.062874	7630.075234
4	93	53084032	38.478428	1.164003	12.737691	798.648428	0.218686	0.00165	0.053582	7642.036529
4	65	137529817	20.711469	1.264147	24.894827	715.942356	0.086853	0.002907	0.122384	7673.835157
4	53	121658613	15.820157	1.37602	16.646003	1184.286714	0.283732	0.071555	0.029293	7600.763314
4	89	84088578	53.689409	0.722709	14.377831	1546.186388	0.232356	0.19823	0.034916	7581.925919
4	49	100041233	37.914745	1.12081	14.28685	572.606085	0.123332	0.039117	0.056017	7642.149617
4	47	116475056	18.726136	1.253361	24.394451	761.326774	0.111381	0.022443	0.084431	7660.875564
4	152	147030224	0.000001	1.524915	24.842063	749.140312	0.12007	0.082246	0.046789	7593.562593
4	126	76235341	31.528146	0.933189	13.195261	299.026044	0.003181	0.169224	0.105623	7667.544253
4	87	75268272	54.63687	0.864078	13.282597	821.017841	0.115229	0.232438	0.059889	7579.128534
4	115	52831201	10.977466	1.319678	23.279102	764.826022	0.073467	0.159574	0.014882	7568.804344
4	97	86552000	26.51629	1.19212	20.537581	815.933916	0.084587	0.173651	0.037631	7573.272238
4	141	120224038	26.787401	1.186219	19.885669	848.297946	0.105867	0.155158	0.031815	7571.028791
4	129	123279705	43.223085	0.972387	17.303587	1175.374676	0.173716	0.146679	0.045971	7585.13563
4	55	126724589	33.290819	1.078566	18.002626	862.036616	0.091146	0.200638	0.027647	7575.899774
4	122	79415783	0	1.469058	22.745175	786.482001	0.116149	0.134761	0.004427	7551.713856
4	142	119450005	17.888031	1.235193	21.361389	490.144531	0.082836	0.032218	0.067034	7659.079126
4	73	85706980	16.233042	1.290019	21.766253	1012.851337	0.119864	0.168187	0.012745	7566.451324
4	107	150439728	1.137597	1.487951	22.627635	1343.333989	0.219848	0.136791	0.012178	7561.647223
4	41	45554203	16.84725	1.201151	20.486577	1791.036621	0.261854	0.151343	0.011099	7588.91644
4	59	135752899	0.459413	1.322988	22.494075	294.824133	0.042554	0.090518	0.013059	7566.728971
4	135	114420219	14.428073	1.432778	19.389455	1096.398052	0.220767	0.053574	0.06014	7617.22176
4	149	60617366	35.945522	1.083275	16.362566	601.894368	0.112913	0.005358	0.073711	7655.101034
4	148	94311852	43.233967	1.010127	16.133452	887.909136	0.121432	0.163783	0.047743	7577.021271
4	144	133437187	1.341266	1.447534	26.391963	1488.019314	0.179573	0.139105	0.029147	7574.848896
4	130	74070896	46.778366	0.928833	14.763475	966.645057	0.135207	0.206431	0.034531	7574.025251
4	81	102118205	36.221127	1.182292	13.282099	808.045433	0.208977	0.007091	0.054593	7636.898848
4	124	114231861	4.161843	1.462469	26.915656	1457.124938	0.219776	0.035966	0.08933	7646.56046
4	151	107794379	31.075334	1.160246	23.474788	610.056835	0.065445	0.039401	0.122739	7682.567056
4	132	66941906	22.723257	1.244048	21.601623	720.147447	0.058867	0.175251	0.046563	7587.041352
4	121	94766985	0.027627	1.487384	21.744843	1183.682049	0.199885	0.136708	0.004851	7554.509098
4	134	129916478	0.001338	1.415912	29.095377	378.520094	0.037973	0.013222	0.09031	7636.499207
4	154	150052981	1.358736	1.546064	21.458333	1348.738321	0.263041	0.060456	0.058972	7603.479572
4	51	70129514	61.955033	0.105983	12.847346	2616.654768	0.371771	0.482976	0.377245	7598.913377
4	160	135038220	36.492756	1.062348	18.56849	1113.260527	0.12867	0.170311	0.05006	7584.55002
4	150	122599689	21.755838	1.106368	23.675921	419.579291	0.012597	0.085636	0.115117	7684.826687
4	143	143205936	24.498164	1.267631	18.4994	854.358398	0.166678	0.010968	0.076537	7642.026068
4	136	122647000	38.689647	1.053318	15.778037	680.050776	0.071989	0.218266	0.037561	7576.809507
4	138	55363853	36.933161	1.076651	16.480908	1005.286896	0.169951	0.124082	0.030599	7578.007489
4	158	140971687	35.481769	1.168631	15.923825	838.7351	0.161663	0.001976	0.08312	7646.240458
4	137	88468118	11.03137	1.402744	16.125575	1819.328004	0.503028	0.001117	0.053595	7658.59495
