n	m	l	a	b	sgm	S	tr	tg	td	nll
4	135	101329753	43.577832	1.028638	19.874936	578.919006	0.062559	0.051997	0.129921	7692.431313
4	145	136406773	41.96097	1.097297	14.624428	791.136948	0.160422	0.014872	0.072456	7638.233754
4	143	60631275	33.224258	1.191968	18.656387	1068.724609	0.16656	0.00447	0.102948	7656.034434
4	149	65959483	33.533745	1.165686	19.945839	824.574636	0.121856	0.024467	0.097401	7651.795197
4	122	134493762	0.039561	1.54484	26.670756	1007.967651	0.147475	0.101405	0.046257	7583.805298
4	121	146113393	28.962561	1.116577	20.657964	1214.595612	0.148693	0.150812	0.03802	7584.288506
4	146	110099840	31.525951	1.139939	19.805097	976.338449	0.113217	0.168123	0.044327	7575.111998
4	123	112182530	30.259581	1.208665	17.445545	847.862305	0.16435	0.001956	0.081679	7643.749626
4	136	73498733	4.525394	1.507646	15.599934	972.882523	0.314585	0.00898	0.053999	7625.912248
4	139	62766819	14.482725	1.395682	18.826639	954.045563	0.209203	0.039302	0.058465	7628.511744
4	130	79693684	0.846305	1.499314	28.425369	982.475586	0.090393	0.140724	0.037354	7583.264196
4	133	87035330	27.822418	1.272314	14.619446	828.195312	0.213745	0.012416	0.056179	7638.244982
4	131	65873427	26.115924	1.185937	19.691002	909.395248	0.083556	0.211058	0.028162	7576.187399
4	137	152240169	21.134641	1.23161	22.089397	665.14325	0.060997	0.158861	0.038721	7587.457896
4	132	74878033	46.100235	1.014925	15.372984	703.353149	0.126445	0.002261	0.085282	7646.609993
4	144	99567156	0.000057	1.484608	20.490942	929.979004	0.173528	0.123841	0.003046	7551.381074
4	150	121025907	30.900478	1.063408	23.479261	501.92627	0.033661	0.017143	0.164711	7722.088668
4	148	152963779	0.000004	1.357741	24.228198	378.11911	0.041958	0.103447	0.014466	7570.057775
4	147	61522366	20.671936	1.047182	21.915143	346.184013	0.055963	0.036611	0.048322	7675.120173
4	71	87507967	27.021983	1.212596	20.494463	1224.770264	0.195421	0.003533	0.094379	7655.792728
4	142	77003869	24.942627	1.187909	20.066032	908.3125	0.096244	0.183862	0.023964	7568.080896
4	103	54304186	0.003662	1.439355	22.162476	480.4375	0.124464	0.001	0.068326	7631.234079
4	87	107447772	39.663963	1.031926	17.426519	1068.136719	0.135915	0.174828	0.045721	7579.811355
4	63	75325205	5.539838	1.09572	22.084566	186.363159	0.051064	0.001873	0.027743	7638.450655
4	111	74562793	30.867403	1.027918	17.240798	486.261505	0.040345	0.222168	0.018216	7587.164263
4	55	53810910	37.551198	1.08265	18.115704	934.78894	0.119406	0.149152	0.053968	7579.497986
4	119	123990666	36.534829	1.084566	18.486727	832.174816	0.098875	0.172286	0.049008	7577.136588
4	47	136510610	24.765188	1.173897	20.646841	707.781769	0.093818	0.137689	0.028384	7585.978955
4	95	88565233	54.901335	0.864705	13.541985	900.586182	0.143813	0.164996	0.055328	7575.630073
4	79	79849768	12.997742	1.347513	24.774501	724.711182	0.049458	0.169792	0.040626	7594.540685
4	160	138428726	18.946946	1.236883	24.853141	760.162354	0.111506	0.002288	0.097787	7673.742406
4	156	116166180	29.051363	0.963806	21.952491	375.157227	0.041344	0.010925	0.095604	7692.074963
4	158	143191841	25.535631	0.909241	12.789631	330.077637	0.001001	0.234519	0.029817	7601.143097
4	154	147724691	39.160953	1.05678	17.244122	811.306702	0.094241	0.184881	0.048903	7573.862033
4	155	98565907	30.792847	0.999927	21.485291	388.890625	0.047734	0.043281	0.078922	7686.291585
4	151	132990069	33.792533	1.161478	16.993466	1112.987144	0.217153	0.00719	0.072519	7642.743232
4	159	139892921	0.000916	1.396606	29.402161	293.570312	0.014493	0.032917	0.080239	7624.693504
4	157	143376080	0.000014	1.549154	28.005717	1262.680664	0.13382	0.121765	0.054498	7592.034665
4	152	69697776	0.557211	1.376719	26.59457	334.380646	0.044226	0.059785	0.046336	7598.706488
4	153	95432916	39.021177	1.042061	16.395254	529.215332	0.088669	0.001	0.093355	7665.747141
2	16	95356965	20.696562	1.042245	21.142201	338.069365	0.008117	0.100746	0.084972	7660.544842
2	10	94746197	2.411205	1.555758	22.42295	976.666308	0.183763	0.06368	0.060469	7607.90302
2	40	97757656	32.200092	0.915055	20.653414	319.838488	0.03631	0.044631	0.077365	7695.646851
2	22	95946048	24.993495	1.142827	21.983866	489.322576	0.067478	0.031222	0.084664	7670.616955
2	21	95856972	30.756625	1.000579	21.832267	362.9673	0.026366	0.050819	0.121407	7696.487143
2	13	95058454	29.416841	1.144578	19.805507	836.239159	0.082398	0.193069	0.034204	7571.391506
2	17	95457515	0.158191	1.493779	29.201106	532.692369	0.062981	0.035797	0.088943	7636.466148
2	12	94946044	25.739608	1.165906	21.278183	577.397006	0.08623	0.031732	0.077728	7663.02081
2	25	96250701	0.000134	1.434882	23.771157	400.576261	0.069954	0.074175	0.035501	7592.15039
2	34	97150843	23.517363	1.232681	23.060648	1047.856703	0.105203	0.153628	0.054673	7585.679124
2	28	96553692	0.312683	1.350639	26.575691	303.778921	0.02312	0.081001	0.035295	7587.074899
2	2	93950858	0.376873	1.390532	28.89359	382.139138	0.049731	0.031297	0.069158	7619.6686
2	9	94647756	41.073234	1.002687	14.277308	561.50778	0.055523	0.254331	0.031665	7575.728798
2	19	95648379	0.023914	1.570782	17.979849	1261.90444	0.34948	0.023997	0.059779	7611.476202
2	38	97554648	2.909361	1.492815	25.245934	1265.719485	0.154974	0.142862	0.029404	7572.838138
2	27	96446508	23.259343	1.164619	21.301557	1495.769948	0.195161	0.146028	0.031273	7584.257186
2	5	94254062	36.747191	1.176289	11.632087	691.70794	0.219435	0.009833	0.038465	7640.951153
2	23	96058968	18.375955	1.275082	21.872311	938.845267	0.108252	0.150154	0.027907	7571.262051
2	36	97348759	54.727218	0.941948	11.493411	522.944485	0.122404	0.001	0.067302	7639.788387
2	8	94546063	31.918068	0.86674	22.200279	323.114632	0.030519	0.013792	0.09967	7707.182904
2	14	95154381	0	1.539584	16.073658	756.643843	0.263505	0.039232	0.038169	7605.865372
2	11	94846047	36.459109	1.151321	16.624053	901.63868	0.166074	0.001785	0.085641	7644.993558
2	4	94157225	24.082192	1.307553	14.449195	867.592175	0.241832	0.004367	0.055163	7638.31185
2	35	97257247	24.255548	1.231466	21.58278	908.281097	0.104618	0.152972	0.041118	7575.224235
2	24	96154227	7.966497	1.282977	24.449727	489.41653	0.007802	0.140398	0.048382	7616.580205
2	18	95548386	19.338708	1.254955	23.699537	1085.730225	0.114384	0.151155	0.040026	7580.07196
2	20	95751297	38.105005	1.058589	17.170729	923.8946	0.107778	0.190829	0.04258	7573.621927
2	30	96758802	34.292534	1.09321	18.272942	909.012616	0.117482	0.176384	0.027859	7571.822988
2	7	94451616	0.117767	1.511012	23.723553	1076.900246	0.175082	0.121752	0.021283	7562.045368
2	32	96955965	3.426893	1.473745	21.855882	863.673747	0.148769	0.114966	0.017823	7567.172306
2	15	95258226	0.345714	1.358872	26.139252	221.067293	0.003861	0.036398	0.074675	7615.210126
2	29	96646108	21.361447	1.232981	20.669915	903.912889	0.116145	0.157149	0.018714	7566.671427
2	39	97656090	0.89595	1.49826	24.487004	1008.297873	0.130316	0.146694	0.01372	7559.587641
2	37	97456994	15.204468	1.283228	23.37308	812.889634	0.08577	0.158028	0.021934	7569.455563
2	1	93846962	40.712987	0.995958	15.497308	920.636232	0.120034	0.228792	0.015868	7573.733275
2	6	94358460	0.011114	1.510674	22.792608	1491.573976	0.296711	0.001008	0.087278	7640.999827
2	26	96346054	11.21186	1.421827	18.367575	1278.2211	0.296231	0.061621	0.039962	7603.995466
2	33	97046047	56.921449	0.686531	13.560593	1378.41496	0.218402	0.237389	0.02787	7577.162428
2	72	80001299	7.050434	1.297229	23.582772	2450.090122	0.377155	0.003635	0.091558	7691.271595
2	31	96858324	30.53241	1.094168	20.57815	593.534218	0.081269	0.001	0.101635	7672.014974
2	66	80282348	0.015505	1.452522	30.515734	396.905984	0.014719	0.071063	0.075139	7625.264568
2	60	75241043	0.000107	1.488798	17.612222	581.10175	0.201527	0.011158	0.049964	7616.711854
2	3	94056382	19.778171	1.30929	18.108265	1180.613288	0.239753	0.077224	0.034904	7599.000753
2	78	75438630	17.270657	1.324518	21.765654	743.831299	0.126464	0.001446	0.094611	7655.587925
2	74	91661282	13.784734	1.15551	19.64713	369.644499	0.003801	0.146223	0.049073	7615.811108
2	68	81416200	0.000559	1.480298	22.335087	760.899531	0.130246	0.120948	0.008795	7557.35672
2	112	128985039	7.022317	1.315323	28.883853	477.251707	0.030617	0.092592	0.057084	7631.831282
2	82	56337528	0.394156	1.50394	25.348755	958.553709	0.103483	0.158707	0.014865	7567.361011
2	108	128953501	28.957054	1.233606	16.793002	954.688529	0.201601	0.011124	0.068769	7636.740233
2	64	105317792	38.484346	1.149021	14.508205	880.765316	0.200581	0.006995	0.065229	7636.110414
2	62	96325682	0.000269	1.526379	25.395646	1411.170766	0.222402	0.08405	0.054862	7592.046499
2	86	124304419	1.242456	1.166271	27.050065	177.345585	0.035634	0.001061	0.037487	7608.842479
2	120	103026426	12.508091	1.421695	17.91263	755.81405	0.178179	0.032012	0.059393	7635.886391
2	118	39315219	36.545837	0.902485	19.226953	372.778067	0.048168	0.004261	0.094425	7691.634934
2	54	39605497	48.415747	1.007447	15.962168	443.479996	0.057074	0.062821	0.118507	7688.123611
2	48	103616010	25.011326	1.182579	18.828963	695.659248	0.093697	0.153497	0.016046	7571.370197
2	44	112743882	25.511721	1.166621	18.341985	1358.749784	0.24443	0.130863	0.00913	7578.744991
2	76	49964763	37.818671	0.998888	14.438726	534.475018	0.044487	0.270091	0.020815	7577.914216
2	56	71702421	0.494326	1.366124	20.736519	290.368467	0.082469	0.044983	0.031222	7598.280771
2	116	85189255	12.22555	1.39873	19.43372	943.070699	0.20533	0.001042	0.07561	7640.606234
2	110	78685692	37.641017	1.138856	15.318789	878.548326	0.168255	0.084249	0.047402	7601.281588
2	70	103830407	13.950017	1.2116	20.099834	559.762353	0.047138	0.17922	0.001132	7568.942635
2	100	77849901	16.510107	1.295092	21.114371	970.748213	0.132115	0.151912	0.013704	7564.570488
2	96	71837101	22.207586	1.257841	22.098184	1000.880572	0.106807	0.165364	0.040514	7574.998197
2	114	103185844	31.331662	0.938478	20.956818	317.882627	0.031817	0.039033	0.093297	7696.463249
2	50	106450442	21.796868	1.130889	25.105911	421.813472	0.022947	0.059099	0.117132	7683.39993
2	65	104406538	0.024193	1.507349	23.395192	773.149861	0.159667	0.001003	0.085043	7636.123823
2	88	44650446	16.878253	1.292968	21.388014	873.362564	0.109453	0.145806	0.021398	7567.019133
2	84	96530060	14.302833	1.341867	21.327169	1247.897925	0.211984	0.108442	0.029743	7578.946933
2	90	118255930	28.238849	1.151238	19.35881	714.769739	0.076567	0.16308	0.035858	7577.909248
2	98	47413521	51.751634	0.920386	13.429412	480.875491	0.087211	0.007981	0.08201	7658.93594
2	46	70072401	33.668074	1.014989	18.894014	452.520336	0.066174	0.002511	0.091727	7674.850767
2	94	91668376	37.066173	1.069223	17.221258	658.463601	0.070561	0.190278	0.046019	7578.166743
2	42	50737341	27.015185	1.267007	20.275768	929.417765	0.147634	0.072289	0.070076	7622.760267
2	80	71626088	35.480348	0.989365	17.851885	1561.369694	0.215363	0.16611	0.026369	7584.907944
2	58	69810027	27.37735	1.164982	19.199702	843.516491	0.098659	0.181309	0.019912	7566.175819
2	59	110465211	48.803939	0.954805	14.132803	683.442196	0.0782	0.231885	0.06083	7585.163363
2	52	48352577	31.750596	0.97302	18.318103	1954.648471	0.259845	0.153055	0.031708	7603.667588
2	81	96257713	0.021278	1.392861	23.636169	383.880353	0.074703	0.059345	0.034755	7596.734116
2	107	130584057	31.645741	1.142644	14.301293	574.005786	0.139042	0.02233	0.045738	7656.322034
2	106	110150141	27.178338	1.179743	18.180039	1053.925427	0.163313	0.143381	0.018168	7570.175809
2	102	54714149	0.003643	1.606545	13.162725	744.581863	0.324936	0.069158	0.01786	7582.118902
2	61	43129747	20.278882	1.237359	21.330264	782.747437	0.075873	0.181021	0.021373	7567.360751
2	111	126153399	39.667535	1.087003	15.341165	1132.919244	0.212591	0.059673	0.051752	7621.202715
2	104	79649219	44.286297	1.001409	15.293851	734.614389	0.08101	0.236668	0.050415	7580.335705
2	67	55447474	60.745422	0.849313	11.546608	409.977814	0.073342	0.002351	0.102546	7660.005401
2	119	111778560	28.386772	1.236471	12.9784	590.195443	0.179927	0.023073	0.039072	7648.293476
2	71	75705918	12.946739	1.36754	22.33909	1025.349366	0.14709	0.12834	0.028618	7572.78802
2	73	111953223	15.821692	1.267338	20.602562	827.717396	0.095141	0.176978	0.001361	7560.30079
2	43	67299623	25.883025	1.073028	16.663633	440.594077	0.100019	0.006195	0.044805	7675.177133
2	117	59432863	0.026541	1.664133	11.147481	1228.399024	0.715774	0.009926	0.045452	7607.682352
2	63	38637439	36.595403	1.054954	17.335389	1069.71124	0.148093	0.167456	0.028588	7570.538922
2	77	29122751	11.749632	1.448539	16.229887	1042.102522	0.282981	0.00683	0.062176	7634.453952
2	113	121871275	38.536809	0.975553	17.14404	1974.392126	0.334132	0.001	0.062472	7692.760546
2	85	73238607	31.541805	1.187408	17.412233	1044.822754	0.203043	0.004589	0.075605	7641.790179
2	109	74335265	12.398108	1.270144	29.574613	520.246665	0.042995	0.015678	0.117756	7685.815079
2	126	109523229	39.118148	1.070772	18.957147	749.293206	0.116265	0.0193	0.08841	7658.328748
2	47	112782756	1.491698	1.172012	25.159022	3143.877607	0.373363	0.122301	0.050432	7635.263915
2	69	74030015	29.693924	1.149659	20.430534	1279.563696	0.20279	0.095558	0.049307	7602.728548
2	89	86815327	29.014195	1.204341	16.129319	687.153354	0.148867	0.009207	0.066631	7646.587454
2	53	56773835	26.891243	1.132154	19.882608	1445.02859	0.202873	0.137915	0.03092	7584.003718
2	115	46562013	29.311824	1.104212	19.392142	1343.160595	0.185284	0.16564	0.020981	7579.160314
2	55	98199073	8.931619	1.427004	24.508194	968.673663	0.160911	0.025285	0.084366	7643.953452
2	83	42916017	25.550992	1.110718	21.496235	474.952539	0.065376	0.032985	0.076983	7672.101944
2	49	25602507	0.000196	1.529184	24.700787	1146.51248	0.163754	0.121415	0.029917	7567.165277
2	125	36608674	0.002389	1.414484	27.815588	401.779379	0.057718	0.040343	0.062062	7614.236069
2	99	102158475	33.916075	1.177848	16.755558	933.540157	0.181005	0.016666	0.072039	7637.563711
2	41	36282470	23.247073	1.082161	24.23839	506.716722	0.059256	0.003213	0.095783	7683.670102
2	45	113620201	41.144373	0.72507	14.480801	214.441626	0.01078	0.085494	0.122644	7712.46481
2	79	125286913	2.150355	1.565694	27.764059	1005.285804	0.129726	0.030799	0.106111	7652.569886
2	92	64465126	19.342718	1.271003	20.539372	1091.070982	0.160905	0.13462	0.022388	7570.253711
2	127	58859223	15.99492	1.342837	26.241237	619.018294	0.067212	0.0216	0.122582	7680.768624
2	142	108776939	4.741092	1.132792	25.421924	167.481473	0.030766	0.022751	0.036452	7619.134547
2	93	73825942	32.948705	1.098724	17.444001	693.075072	0.071197	0.213585	0.024198	7569.496893
2	130	100909313	13.954378	1.262234	22.806796	2111.984735	0.323661	0.001702	0.09385	7688.297797
2	97	127116502	28.697294	1.155169	18.544379	1094.278098	0.170333	0.140005	0.021062	7574.344714
2	121	99601479	14.714527	1.157949	28.445436	416.810748	0.037777	0.020394	0.095276	7674.490032
2	122	40750732	19.641008	1.264745	20.607284	928.417938	0.136645	0.127498	0.02343	7575.614324
2	105	125482116	4.040643	1.2248	22.641816	284.952239	0.069931	0.002552	0.044993	7631.591966
2	51	84770828	0.522722	1.4178	28.426534	597.609301	0.090968	0.006365	0.086286	7644.225958
2	153	50773491	25.466076	1.279178	19.297175	820.674139	0.143001	0.023709	0.083484	7644.930178
2	57	52194105	18.197818	1.256872	21.381125	806.145242	0.10111	0.144869	0.019567	7569.297732
2	154	121326977	4.274125	1.37842	24.095562	574.400846	0.112935	0.027438	0.058346	7634.488704
2	101	39013295	20.047808	1.230835	22.678862	842.320334	0.083562	0.159453	0.032259	7577.92094
2	75	118095469	33.877003	1.104605	18.106283	994.756062	0.139465	0.150344	0.034032	7573.458731
2	103	31322310	26.848594	1.197217	18.403898	876.015731	0.129134	0.144941	0.022213	7570.96135
2	87	110406835	53.939361	0.89726	12.703419	745.181278	0.101548	0.237817	0.061283	7581.364111
2	124	38600086	35.917915	0.915205	15.737347	360.610779	0.070089	0.001934	0.052686	7687.104673
2	137	48060097	0.183509	1.585072	17.456262	1119.219183	0.340955	0.001242	0.070808	7620.028141
2	123	81058979	0.050538	1.493771	21.752605	786.711051	0.143062	0.115841	0.010869	7556.873853
2	140	102725636	0.000014	1.597841	13.002052	745.994873	0.347137	0.01328	0.046528	7610.951322
2	134	84487983	38.662503	1.055802	17.794396	870.596903	0.101387	0.179782	0.050061	7575.58076
2	141	55829043	33.628868	1.209379	14.391345	956.721642	0.223101	0.038071	0.049273	7628.600083
2	95	91394933	47.745123	1.015956	14.886071	725.736612	0.101941	0.157044	0.069179	7589.23122
2	151	83896659	15.345748	1.075227	21.892531	2724.402844	0.370672	0.11801	0.03705	7623.049941
2	128	53621492	30.089767	1.131964	18.936606	1128.567858	0.139353	0.176734	0.028447	7574.206246
2	144	59287295	17.352733	1.271022	22.121143	819.459572	0.071263	0.183833	0.023186	7571.666176
2	139	118238458	41.79396	1.028263	15.325635	797.45949	0.115187	0.164733	0.036918	7574.334177
2	143	57866285	20.002446	0.951624	20.314503	252.495106	0.048731	0.033863	0.027074	7692.502179
2	129	75562665	31.25561	1.200386	19.56246	830.412118	0.1415	0.005943	0.096427	7649.54365
2	138	82211794	54.721305	0.79071	11.585989	224.25657	0.014731	0.076091	0.217715	7744.765886
2	132	94349857	0.000597	1.560331	24.924254	1354.072164	0.205932	0.093449	0.057134	7593.759776
2	148	38787497	33.294316	1.013391	18.919947	461.919123	0.067377	0.007455	0.086743	7675.172686
2	155	73485860	20.377094	1.23706	21.192832	828.037282	0.079685	0.186678	0.019922	7565.62414
2	135	130456054	27.219461	1.196202	21.796558	1053.864227	0.110496	0.163368	0.05317	7583.550417
2	160	76315375	20.832066	1.285351	25.705963	1108.805427	0.125346	0.019882	0.124715	7682.2694
2	152	102591336	26.748075	1.199896	19.237325	850.639404	0.116549	0.140718	0.031996	7573.400063
2	158	100085609	0.537365	1.458975	21.224519	808.086081	0.150268	0.116371	0.0061	7555.332969
2	133	129507459	31.513061	1.148014	17.590493	666.020689	0.076172	0.168338	0.040216	7580.380233
2	136	81076443	32.532842	1.14306	18.510666	887.384209	0.104352	0.183612	0.036968	7575.038329
2	91	86147767	48.361777	0.965843	14.115	672.669471	0.084882	0.206235	0.056793	7581.054769
2	147	88187182	19.978936	1.249074	20.182892	1191.053201	0.18544	0.139763	0.015792	7574.315607
2	149	84717132	30.966875	1.064505	17.897994	1415.540509	0.225158	0.150906	0.009038	7580.784782
2	145	87502396	32.0155	1.187689	18.578718	1044.715225	0.171284	0.021857	0.084881	7645.562745
2	150	132695278	2.241642	1.522172	20.018569	1342.416214	0.310342	0.069606	0.041245	7592.845225
2	146	54098636	59.417027	0.889756	12.462988	738.802399	0.15177	0.008207	0.070644	7634.461151
2	159	43993508	31.600499	1.164342	20.171408	964.962234	0.106899	0.155472	0.059363	7586.387117
2	131	89172773	41.119185	1.113878	13.195338	777.822935	0.186109	0.001519	0.061403	7639.995441
2	156	119830518	35.074651	1.081185	18.387828	1073.625953	0.145648	0.131732	0.045747	7582.218263
2	157	134325135	14.226071	1.325454	23.831313	833.130894	0.091721	0.148248	0.028221	7574.567126
